Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
hlh-30_16h_starv_A	Extraction			hlh-30_16h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_16h_starv_rep1_2-C,2_01_21806	hlh-30_16h_starv_rep1_2-C,2_01_21806.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_16h_starv_B	Extraction			hlh-30_16h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_16h_starv_rep3_2-C,4_01_21829	hlh-30_16h_starv_rep3_2-C,4_01_21829.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_16h_starv_C	Extraction			hlh-30_16h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_16h_starv_rep5_2-C,6_01_21807	hlh-30_16h_starv_rep5_2-C,6_01_21807.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_fed_A	Extraction			hlh-30_fed_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_fed_rep1_1-E,4_01_21812	hlh-30_fed_rep1_1-E,4_01_21812.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_fed_B	Extraction			hlh-30_fed_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_fed_rep2_1-E,5_01_21820	hlh-30_fed_rep2_1-E,5_01_21820.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_fed_C	Extraction			hlh-30_fed_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_fed_rep4_1-E,7_01_21798	hlh-30_fed_rep4_1-E,7_01_21798.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_1h_starv_A	Extraction			WT_1h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_1h_starv_rep1_1-A,6_01_21818	WT_1h_starv_rep1_1-A,6_01_21818.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_1h_starv_B	Extraction			WT_1h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_1h_starv_rep2_1-A,7_01_21779	WT_1h_starv_rep2_1-A,7_01_21779.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_1h_starv_C	Extraction			WT_1h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_1h_starv_rep4_1-B,1_01_21789	WT_1h_starv_rep4_1-B,1_01_21789.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_2h_starv_A	Extraction			WT_2h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_2h_starv_rep1_1-B,3_01_21830	WT_2h_starv_rep1_1-B,3_01_21830.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_2h_starv_B	Extraction			WT_2h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_2h_starv_rep3_1-B,5_01_21786	WT_2h_starv_rep3_1-B,5_01_21786.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_2h_starv_C	Extraction			WT_2h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_2h_starv_rep5_1-B,7_01_21776	WT_2h_starv_rep5_1-B,7_01_21776.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_3h_starv_A	Extraction			WT_3h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_3h_starv_rep1_1-B,8_01_21782	WT_3h_starv_rep1_1-B,8_01_21782.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_3h_starv_B	Extraction			WT_3h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_3h_starv_rep3_1-C,2_01_21771	WT_3h_starv_rep3_1-C,2_01_21771.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_3h_starv_C	Extraction			WT_3h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_3h_starv_rep4_1-C,3_01_21799	WT_3h_starv_rep4_1-C,3_01_21799.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_4h_strav_A	Extraction			WT_4h_strav_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_4h_strav_rep2_1-C,6_01_21811	WT_4h_strav_rep2_1-C,6_01_21811.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_4h_strav_B	Extraction			WT_4h_strav_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_4h_strav_rep3_1-C,7_01_21795	WT_4h_strav_rep3_1-C,7_01_21795.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_4h_strav_C	Extraction			WT_4h_strav_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_4h_strav_rep4_1-C,8_01_21823	WT_4h_strav_rep4_1-C,8_01_21823.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_6h_starv_A	Extraction			WT_6h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_6h_starv_rep2_1-D,3_01_21788	WT_6h_starv_rep2_1-D,3_01_21788.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_6h_starv_B	Extraction			WT_6h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_6h_starv_rep3_1-D,4_01_21787	WT_6h_starv_rep3_1-D,4_01_21787.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_6h_starv_C	Extraction			WT_6h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_6h_starv_rep4_1-D,5_01_21843	WT_6h_starv_rep4_1-D,5_01_21843.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_16h_starv_A	Extraction			WT_16h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_16h_starv_rep2_1-D,8_01_21802	WT_16h_starv_rep2_1-D,8_01_21802.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_16h_starv_B	Extraction			WT_16h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_16h_starv_rep3_1-E,1_01_21801	WT_16h_starv_rep3_1-E,1_01_21801.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_16h_starv_C	Extraction			WT_16h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_16h_starv_rep4_1-E,2_01_21833	WT_16h_starv_rep4_1-E,2_01_21833.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_fed_A	Extraction			WT_fed_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_fed_rep1_1-A,1_01_21822	WT_fed_rep1_1-A,1_01_21822.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_fed_B	Extraction			WT_fed_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_fed_rep3_1-A,3_01_21845	WT_fed_rep3_1-A,3_01_21845.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_fed_C	Extraction			WT_fed_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	negative	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_fed_rep4_1-A,4_01_21847	WT_fed_rep4_1-A,4_01_21847.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
