database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	id	hlh-30_1h_starv_rep2_1-F,2_01_21838	hlh-30_1h_starv_rep3_1-F,3_01_21821	hlh-30_1h_starv_rep4_1-F,4_01_21817	hlh-30_2h_starv_rep2_1-F,7_01_21775	hlh-30_2h_starv_rep3_1-F,8_01_21841	hlh-30_2h_starv_rep4_2-A,1_01_21824	hlh-30_3h_starv_rep1_2-A,3_01_21772	hlh-30_3h_starv_rep2_2-A,4_01_21842	hlh-30_3h_starv_rep4_2-A,6_01_21794	hlh-30_4h_starv_rep1_2-A,8_01_21825	hlh-30_4h_starv_rep2_2-B,1_01_21846	hlh-30_4h_starv_rep4_2-B,3_01_21832	hlh-30_6h_starv_rep1_2-B,5_01_21828	hlh-30_6h_starv_rep2_2-B,6_01_21819	hlh-30_6h_starv_rep4_2-B,8_01_21797	hlh-30_16h_starv_rep1_2-C,2_01_21806	hlh-30_16h_starv_rep3_2-C,4_01_21829	hlh-30_16h_starv_rep5_2-C,6_01_21807	hlh-30_fed_rep1_1-E,4_01_21812	hlh-30_fed_rep2_1-E,5_01_21820	hlh-30_fed_rep4_1-E,7_01_21798	WT_1h_starv_rep1_1-A,6_01_21818	WT_1h_starv_rep2_1-A,7_01_21779	WT_1h_starv_rep4_1-B,1_01_21789	WT_2h_starv_rep1_1-B,3_01_21830	WT_2h_starv_rep3_1-B,5_01_21786	WT_2h_starv_rep5_1-B,7_01_21776	WT_3h_starv_rep1_1-B,8_01_21782	WT_3h_starv_rep3_1-C,2_01_21771	WT_3h_starv_rep4_1-C,3_01_21799	WT_4h_strav_rep2_1-C,6_01_21811	WT_4h_strav_rep3_1-C,7_01_21795	WT_4h_strav_rep4_1-C,8_01_21823	WT_6h_starv_rep2_1-D,3_01_21788	WT_6h_starv_rep3_1-D,4_01_21787	WT_6h_starv_rep4_1-D,5_01_21843	WT_16h_starv_rep2_1-D,8_01_21802	WT_16h_starv_rep3_1-E,1_01_21801	WT_16h_starv_rep4_1-E,2_01_21833	WT_fed_rep1_1-A,1_01_21822	WT_fed_rep3_1-A,3_01_21845	WT_fed_rep4_1-A,4_01_21847
					762.5018815				18.9243948												Cluster_0056	NaN	595.3518	NaN	NaN	NaN	1162.3842	NaN	NaN	NaN	258.0231	NaN	NaN	NaN	NaN	384.0262	373.02197	305.17975	576.2573	883.65845	NaN	109.95227	1949.3279	170.87029	NaN	NaN	100.49439	NaN	217.00363	71.95977	294.8541	31.713116	41.48657	946.1912	NaN	297.9422	260.45984	NaN	NaN	49.45758	339.37112	NaN	NaN
					767.4931374				18.44043524												Cluster_0058	16.42009	NaN	NaN	NaN	NaN	331.60025	NaN	NaN	NaN	120.34557	NaN	NaN	NaN	NaN	171.85823	861.5866	143.60722	178.67953	327.7482	NaN	NaN	883.46875	554.9748	NaN	616.95734	154.91573	1313.1144	14.887103	47.91386	NaN	81.89479	NaN	153.93452	NaN	85.355705	140.75998	NaN	133.38553	8.826983	72.32076	NaN	NaN
					773.4942032				18.41830786												Cluster_0063	433.1536	352.37692	18.193043	31.66132	NaN	1353.3445	NaN	312.23087	66.575	504.06738	315.7053	130.4951	NaN	220.73834	1337.8397	1950.2649	765.6937	836.9983	1217.0474	27.617952	134.29	2944.3167	956.3505	NaN	412.76724	603.6181	464.03723	175.0787	450.61044	549.6626	374.95248	314.82053	1173.416	85.27206	564.1054	625.23114	67.24533	779.64355	627.3966	270.39066	48.404934	174.23859
					774.5024211				18.64024832												Cluster_0064	179.98312	2492.1018	17.246464	422.22354	33.13453	2310.504	31.426086	354.32297	22.12912	859.02325	78.34247	782.5526	NaN	125.18589	561.2329	5237.784	2620.4558	1357.3474	3140.3782	40.676674	526.6899	3788.0154	715.8821	1.9277886	1143.943	558.1399	1516.6016	320.7163	393.44717	360.21194	201.60905	99.369606	1444.8007	NaN	674.5176	711.46783	94.658295	1695.9023	820.2445	1306.4741	359.7783	212.39705
					775.5098938				18.99252643												Cluster_0065	3.9856653	565.66736	NaN	NaN	NaN	1228.0059	NaN	NaN	NaN	526.40106	NaN	112.35832	NaN	NaN	829.6725	1709.0703	1383.4324	740.0531	1008.2447	NaN	132.98796	1685.8282	404.18787	NaN	101.879135	378.14987	NaN	343.4622	244.99022	476.88962	58.673046	141.39975	855.88324	14.5114565	462.3888	468.82504	NaN	235.949	374.21405	245.24652	NaN	3.8685026
					885.4938191				14.43553708												Cluster_0066	2261.121	1031.9248	2619.0312	1978.1378	1165.2612	1962.309	1854.3972	1940.7588	1481.9747	1539.0364	2620.05	1677.5803	3066.1702	2229.0684	4048.9033	614.52057	2069.3708	1860.0747	1167.5575	1636.4763	1142.4481	2299.7356	2306.6274	3072.1548	724.4491	3177.517	473.93152	1934.9769	1450.0394	1678.3583	1715.18	1805.176	2004.7006	3266.8901	1126.5967	1124.7925	3636.6318	2346.7834	2199.1787	1358.6151	1310.9124	1403.35
					134.008027				1.459503562												Cluster_0067	7824.662	12536.779	6359.712	6427.1304	11868.318	9710.919	12293.241	10341.687	4801.879	12320.846	7135.487	8208.584	15777.99	6461.679	9485.394	11833.696	16378.124	8795.213	10793.956	7146.324	7858.1934	9610.159	9387.746	9281.184	12125.063	6461.737	17679.76	9898.277	5931.355	7529.6646	6364.8784	7000.7817	9467.147	5487.8433	7179.0522	9519.068	8807.925	12346.716	7493.072	6857.1714	7333.622	4984.7925
					138.0196448				1.374089851												Cluster_0068	300.44687	NaN	NaN	NaN	NaN	51.81018	91.27405	53.525517	22.60008	26.864582	NaN	30.554283	NaN	NaN	159.43445	162.06017	392.14163	107.613754	43.089264	89.196754	68.4216	164.1333	135.48679	195.53659	541.9225	NaN	213.5177	124.817635	20.75021	157.5347	NaN	163.64978	NaN	12.684349	NaN	139.19656	117.186226	221.0675	156.07138	NaN	95.007545	7.77637
					151.0256284				1.230272358												Cluster_0069	729.80206	638.43695	2925.5557	5345.459	504.65317	1601.1414	1472.0348	2056.536	3329.2803	465.23907	2313.3167	1401.7211	1208.6711	2211.236	1011.46875	1189.8779	1698.407	1718.5518	1305.7938	4413.1167	1371.2229	929.2237	1071.3286	1683.6843	307.15454	2913.9956	1584.4995	1657.1143	2045.9634	2480.703	2396.166	2085.1519	1566.9971	2120.6416	1875.5853	2735.3389	2255.4514	782.22955	1981.3008	3051.3108	1404.3789	5679.4043
					159.0626146				1.262303622												Cluster_0070	74.89086	NaN	150.23602	46.748005	NaN	231.35979	451.14066	190.77019	22.816729	79.486275	43.546078	9.928421	2.1142318	NaN	3189.6252	27.039091	1.1509858	2937.591	249.74406	2812.8188	284.27493	46.943317	204.17332	131.31082	419.1378	13.526291	2015.2505	NaN	5.659998	3711.0251	77.58105	47.11938	4.316496	108.565285	991.2632	NaN	915.46826	170.7395	603.65326	141.63516	89.76885	28.133348
					164.0716459				1.227348887												Cluster_0072	4827.57	3735.4814	8358.267	6209.2656	1411.3864	5409.8535	4057.1729	5780.03	9063.589	3537.681	4397.864	3649.0767	3469.531	4908.838	5011.0884	3249.8333	3929.515	5420.294	6409.745	7767.9697	9607.126	8019.565	5277.692	8703.318	2394.1226	7349.8604	3803.0103	4140.9307	6540.3823	6452.6235	4099.8086	6080.9385	4567.9766	4191.6533	4446.8516	5640.3306	2836.9556	2571.6587	2868.725	13105.758	7917.5483	12720.153
					165.9828326				1.471084143												Cluster_0073	757732.9	1667700.4	895740.5	1105800.6	2647613.2	979977.7	1065764.2	851246.6	569468.94	1293420.1	746282.94	1180194.2	1368725.4	727381.75	792659.25	1338185.5	1421982.9	932516	1235992.5	661673.75	724265.1	952235.56	783267.56	668206.4	1452169.8	908184.3	1368907.4	886667.1	723591.56	757905.56	714184.94	652204.3	1175774.9	612761.25	780873.44	856599.56	790440.56	1229767	865092.1	794843.25	753041.9	532748.9
					165.9796586				3.931807213												Cluster_0074	2079.163	4672.4688	2469.134	1684.6923	6698.6006	2249.7031	3282.9524	1907.863	1594.0646	4945.897	2162.7722	3025.519	9141.513	2178.9624	3927.7913	4210.8228	4052.8442	2422.6897	4598.685	1915.5284	2278.5112	2676.0972	2811.7915	3423.3606	4361.4287	2961.7405	6726.7363	2991.6687	1060.5153	2384.7026	2376.4177	2803.3416	2478.201	2632.28	2879.6907	2319.1533	3230.1812	3811.8523	2258.7988	1017.23987	1166.9213	1068.9713
					165.9794688				4.286247809												Cluster_0075	40.82628	259.1778	381.0924	835.5118	457.27426	22.694263	577.64197	193.18907	191.48721	150.00589	94.47257	87.86676	460.57874	121.42253	171.46783	465.82315	176.23213	200.90079	NaN	114.71379	180.72739	182.46858	245.10658	57.871864	353.32236	371.17874	792.1154	618.05634	219.604	257.39957	121.558975	144.7375	54.409237	137.30954	357.50415	178.84926	135.19165	357.8437	8.675782	19.16474	76.87995	56.95362
					165.9798498				4.776248894												Cluster_0076	759.8993	2378.9573	4552.007	1031.5157	13939.733	1366.2927	4058.8508	1548.7509	440.22476	4600.6553	884.8394	1761.2933	34225.047	895.23785	1343.9835	1824.1042	2804.1619	1344.5859	1558.4824	550.5234	1245.8835	996.0065	1040.531	857.9969	4532.8364	683.8901	4740.801	1647.4823	376.81897	909.81305	1208.5466	1300.7659	741.8165	746.5672	984.18317	983.432	1404.0266	915.6468	1124.3279	836.69086	1134.6068	276.9834
					165.979382				5.340950878												Cluster_0077	44.75467	140.80167	1781.413	627.26166	880.392	240.54924	395.51266	155.20251	353.8247	300.04578	68.831505	100.32356	3743.1277	126.10721	NaN	155.33519	78.74702	333.82352	305.42236	103.67151	692.926	51.851723	250.40144	63.92081	435.3606	983.25287	284.55615	409.5153	60.4661	130.52066	101.32865	141.75137	189.70998	143.01675	256.17017	310.46182	160.18587	217.33171	166.81006	284.38803	335.24173	292.25702
					165.9799981				5.81986743												Cluster_0078	64.33464	246.72495	12619.647	556.3198	914.56537	117.887115	432.3333	213.83922	270.12234	187.97273	135.38136	406.72748	3672.4717	213.56334	353.51495	NaN	198.95679	107.39082	90.90032	144.78966	632.3519	153.55821	232.6376	57.888397	503.44263	359.9465	604.4239	231.15944	212.22995	78.295845	129.60669	881.10974	91.57406	161.65749	431.74887	229.17596	319.56665	27.702597	110.857796	265.35013	276.48315	314.4109
					165.9797694				6.323065189												Cluster_0079	78.5659	696.79175	801.79376	923.895	1326.6165	170.22908	3843.3323	231.7563	696.40625	375.51572	126.178345	1135.9603	17610.598	132.89427	304.9433	118.26254	86.955765	35.55579	53.01595	117.82396	1062.3596	125.87421	437.5552	248.46342	231.25484	826.492	350.79904	541.3962	636.02716	71.655624	88.40306	881.21576	306.57938	173.20741	325.8445	156.20468	138.50891	261.82755	132.0018	276.78412	716.1307	623.015
					165.9796107				7.619364575												Cluster_0080	327.132	3515.2427	794.755	1276.9789	4270.6035	762.9976	1124.9172	717.4623	2266.7625	1357.6298	2385.1106	2347.1956	3435.201	582.89514	281.6717	1477.7794	1617.9548	1205.7936	1089.5636	1302.1357	848.06805	720.3512	1129.8873	566.53485	3432.127	1545.7891	876.1034	1338.3647	200.3606	694.02167	632.27905	1819.7677	932.15045	416.6253	413.81088	492.09518	1091.852	973.453	373.85974	486.7991	1081.4296	678.03955
					165.9797385				7.787516625												Cluster_0081	2033.268	9599.715	4447.15	3707.772	7108.375	1953.0305	4323.3022	1525.4071	3820.0466	3486.2761	3160.8647	6702.8696	8363.938	1560.9594	1758.1174	3982.476	3572.3054	2181.322	3228.1318	1777.2283	1919.2914	1744.8945	2469.6462	5863.926	8490.243	5263.1567	4508.4775	6473.973	2491.595	1821.2701	1506.4674	3402.646	3104.8508	1009.08765	1848.3075	2097.1497	1721.5876	3551.4583	1024.2546	2020.3977	2503.1592	2639.4382
					165.9797096				8.598509351												Cluster_0082	1938.935	6328.1865	1060.3671	2575.4902	4938.003	855.27045	3909.5562	2153.5713	2647.85	4008.8752	2326.7117	3305.9426	4846.5073	1716.072	1908.6573	3207.525	1825.3351	3153.5354	3308.5234	2435.775	3027.563	624.5627	1912.4625	2865.9883	5420.5776	3280.0918	939.97473	4626.3843	1269.1893	1984.9922	1932.0852	1351.9948	3937.1238	1960.0756	3349.7988	2434.4375	2956.5083	1191.4307	893.91187	2038.836	2248.0408	1721.1223
					165.979522				8.888609007												Cluster_0083	972.3449	1538.4661	722.45325	985.3141	1402.5758	1240.3333	153.08554	1143.8322	1232.2871	1856.1024	1505.0052	1893.5195	619.93475	834.13324	1841.3489	1572.2784	4303.648	1585.9237	1791.7987	990.1027	2038.468	1046.7954	1175.5188	758.72675	3226.3428	697.76044	886.34143	1769.443	649.9207	1179.0735	907.1037	1888.9453	930.7549	804.7181	959.1195	803.4884	1089.437	2030.1194	1247.7742	1981.0482	1681.6802	1090.8501
					165.9798783				9.223492584												Cluster_0084	3322.7275	8645.738	3834.5996	5338.4243	2140.655	6011.0796	2040.7358	5296.3115	3745.352	7828.899	5829.8486	5266.056	901.7988	2652.348	7149.805	9223.403	8253.389	2145.1394	6234.178	5146.114	6774.2275	4845.322	3350.5083	2904.0142	9540.012	4358.6104	7719.624	2882.7498	2007.0348	5896.7026	6148.46	5880.496	1566.8794	6086.088	5804.6416	4336.9355	3387.8591	3373.338	5266.7837	4159.7783	3356.6	2265.8538
					165.9800023				9.414600404												Cluster_0085	5781.2676	16450.504	5785.0547	5131.0273	13784.428	7581.0674	7938.3804	7450.712	5066.5522	11584.681	6451.371	11016.571	13917.419	6566.501	6872.4272	12995.818	14356.233	8577.347	9651.213	5747.046	6690.2	6285.379	6503.1855	5214.075	17833.469	7009.958	12148.686	13568.953	2565.6245	6109.4116	5946.7773	6520.871	7903.843	5999.684	6035.915	6565.998	9309.492	8279.401	6605.172	5151.7686	4623.018	3231.1123
					165.9796697				9.775755954												Cluster_0086	841.6524	1742.0555	1339.8484	1228.6703	1837.2263	1921.1812	965.15283	1299.9751	801.2681	3767.127	779.5813	1228.9597	1379.254	1123.8196	3761.1235	1902.7565	5577.687	2205.8508	2179.9275	1036.4915	3684.5088	2119.8137	1686.2452	1689.0502	2197.1194	1418.7373	11190.018	1573.1487	576.10486	1527.9679	1691.3463	1039.9436	1298.0282	2105.017	938.68915	739.75714	1482.6979	2357.9036	2319.488	1207.8257	974.9442	699.35236
					165.9798526				9.937978569												Cluster_0087	5222.722	11906.482	5314.632	3293.2715	8170.1357	7305.857	4427.647	6316.82	3774.0405	10855.972	4273.04	7120.015	11809.678	5084.368	6768.0293	11396.892	11830.193	6656.6616	9470.758	4712.536	6389.31	6614.2065	5488.5303	4517.041	11697.064	4690.623	11424.9795	7182.7656	2325.0483	5945.0884	4934.126	4663.5015	7463.9365	4559.848	6210.3613	5525.0664	7734.709	10718.436	6427.096	5727.9204	4485.807	2134.864
					165.9796745				11.04551113												Cluster_0088	1643.9911	3707.1355	2404.7402	3235.8215	2546.8245	2996.474	2512.3623	2236.464	1552.8158	4164.426	1308.6484	3932.9058	4119.1367	1907.875	2547.17	5189.242	5680.1987	3090.9329	4273.7427	1527.3232	3340.2942	2794.8804	1906.629	1900.5817	3898.2854	2848.169	5470.4653	3315.077	1156.7982	2395.6553	2078.6877	1851.2283	3913.381	1373.4543	2304.7717	2453.3948	3265.042	6299.3506	2930.352	2223.7148	2070.4558	786.85455
					165.9796675				11.35660773												Cluster_0089	2072.9414	5670.033	2026.8955	3485.1228	4513.2446	2706.3333	2072.1775	3195.161	1334.8676	4392.4326	1706.5123	4364.5913	5084.2075	2766.2744	3028.045	7089.9414	6940.2344	2703.7163	3279.459	1967.5532	2476.9016	2369.5344	2453.0466	1180.6985	6640.025	2770.6777	4332.408	3751.0237	1319.1661	2320.3333	2612.4343	2101.599	3717.7214	2289.4343	2381.7014	2816.7344	3628.28	6676.8965	2999.8254	1881.5721	1572.1757	796.46954
					165.9795255				14.13362511												Cluster_0090	20.047333	1994.0327	100.55812	288.56305	4449.6724	16.511042	822.9386	58.51726	3.7786896	945.8704	6.9157553	675.5543	999.0108	138.46288	70.02314	744.9455	1297.801	6.4860168	617.4996	NaN	529.1844	567.3968	110.939705	158.14186	692.86414	NaN	688.40485	210.98895	10.595982	126.04483	17.025208	8.219807	112.39299	17.392347	NaN	47.267273	683.5623	391.35147	33.409275	56.66555	165.67853	216.85228
					165.9796413				16.14139163												Cluster_0091	439.85727	7225.4175	1163.0836	673.18207	14685.994	1337.6174	2468.1	985.7883	482.78262	2881.9763	451.8517	3471.5264	2626.166	571.009	944.2713	3845.3916	4645.2715	1517.3114	2814.8345	463.0109	1238.0885	1674.5789	1042.5405	536.77435	3714.8425	1246.9244	5683.6904	1709.0555	307.5592	834.03326	752.6239	471.56558	2494.4424	693.51105	908.7497	1370.0312	1251.6483	3171.598	807.4529	1165.3983	1080.963	470.00052
					165.9797382				16.52694171												Cluster_0092	870.6472	7728.3535	1864.9646	1348.5236	11553.791	2061.6418	3236.259	1324.6217	960.5107	3585.0693	491.95538	3374.7588	4731.5645	774.87665	1573.1271	3262.1462	4367.4087	2445.9858	3916.6707	687.2467	2052.6643	2257.3652	1844.5935	1172.8448	3476.925	1158.4377	5530.5493	3242.494	521.2046	1715.4805	1056.5203	1095.9318	2656.9844	757.8461	1364.5122	1303.7081	1153.7524	3106.346	769.6403	2001.0364	1633.0911	775.9539
					165.9796744				17.680739												Cluster_0093	1339.082	3063.1917	1518.353	2318.8196	4502.036	1887.2253	1848.8948	1797.4841	2009.8882	2811.936	1983.6357	1846.3937	2412.3845	1807.8286	2362.2725	3013.324	2487.1287	2713.4875	2294.1135	2159.2524	2559.69	2113.675	1840.8103	3017.9492	2962.3013	2559.9707	3783.962	3242.5881	914.07275	1835.7288	1662.3992	2013.9933	2199.54	1879.7333	2544.041	1272.7059	2081.589	3262.811	1456.8938	1713.048	872.57245	987.4999
					165.9789376				18.98688888												Cluster_0094	171.4901	604.2277	336.73022	279.01007	1400.9624	229.39374	264.55237	554.2398	137.07811	550.652	229.62398	273.17563	662.51044	348.59625	164.30411	197.734	464.46268	422.1981	260.88947	344.3053	315.98065	349.84354	48.86783	372.6667	439.68286	394.99152	976.9126	629.9011	243.42763	106.41217	324.34695	124.81056	748.07275	497.13925	122.42634	254.68126	1080.8795	379.26047	275.16193	137.1847	320.37885	182.58904
					165.9793134				19.19287913												Cluster_0095	484.68307	1466.5768	827.1947	564.7255	3863.2817	831.7921	430.3987	372.98758	428.35898	2012.8368	710.9575	446.808	933.9795	873.5306	637.10785	1803.2632	1270.7952	711.723	852.87726	651.9996	838.02124	605.2191	523.6264	521.4627	1214.7631	1130.8458	953.615	440.34677	195.01677	1115.1741	1057.7341	502.3497	928.8503	440.03003	865.8699	487.05844	1770.3528	1679.9423	833.37256	915.9772	443.29388	638.68146
					165.9793371				19.60969761												Cluster_0096	546.5488	589.04944	757.7933	478.0934	2325.8662	897.3202	454.7203	917.0083	584.53094	1530.8608	598.5702	607.8559	1353.797	588.90436	521.5043	525.1056	1631.7373	1164.7767	673.0177	912.03723	545.43066	977.56305	340.04587	588.2591	1075.0621	712.8535	687.9288	374.21725	169.0238	809.59045	896.7383	463.33594	603.73425	318.0205	478.23956	823.22046	795.45416	1388.2585	886.31024	1075.8027	492.8017	678.4926
					165.9793933				20.85387776												Cluster_0097	729.1479	3742.0688	454.56375	588.88055	4076.8682	897.28754	1630.0723	824.5217	800.864	2547.416	497.76553	1644.5966	1085.2662	567.1841	764.79285	710.8649	618.182	1533.4098	2233.7751	549.14825	1258.2603	1856.764	1061.9244	936.8269	1043.9402	1185.346	1861.2335	3155.0183	133.75714	1119.3756	650.31744	693.71246	1337.5114	241.21393	1263.9536	1067.4847	300.76913	1274.0076	440.15347	1904.8026	524.05835	560.12775
