Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
hlh-30_4h_starv_B	Extraction			hlh-30_4h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_4h_starv_rep3_2-B,2_01_21717	hlh-30_4h_starv_rep3_2-B,2_01_21717.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_4h_starv_C	Extraction			hlh-30_4h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_4h_starv_rep4_2-B,3_01_21733	hlh-30_4h_starv_rep4_2-B,3_01_21733.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_6h_starv_A	Extraction			hlh-30_6h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_6h_starv_rep1_2-B,5_01_21729	hlh-30_6h_starv_rep1_2-B,5_01_21729.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_6h_starv_B	Extraction			hlh-30_6h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_6h_starv_rep2_2-B,6_01_21720	hlh-30_6h_starv_rep2_2-B,6_01_21720.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_6h_starv_C	Extraction			hlh-30_6h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_6h_starv_rep4_2-B,8_01_21698	hlh-30_6h_starv_rep4_2-B,8_01_21698.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_16h_starv_A	Extraction			hlh-30_16h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_16h_starv_rep2_2-C,3_01_21741	hlh-30_16h_starv_rep2_2-C,3_01_21741.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_16h_starv_B	Extraction			hlh-30_16h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_16h_starv_rep4_2-C,5_01_21686	hlh-30_16h_starv_rep4_2-C,5_01_21686.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_16h_starv_C	Extraction			hlh-30_16h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_16h_starv_rep5_2-C,6_01_21708	hlh-30_16h_starv_rep5_2-C,6_01_21708.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_fed_A	Extraction			hlh-30_fed_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_fed_rep1_1-E,4_01_21713	hlh-30_fed_rep1_1-E,4_01_21713.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_fed_B	Extraction			hlh-30_fed_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_fed_rep2_1-E,5_01_21721	hlh-30_fed_rep2_1-E,5_01_21721.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
hlh-30_fed_C	Extraction			hlh-30_fed_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			hlh-30_fed_rep4_1-E,7_01_21699	hlh-30_fed_rep4_1-E,7_01_21699.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_1h_starv_A	Extraction			WT_1h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_1h_starv_rep1_1-A,6_01_21719	WT_1h_starv_rep1_1-A,6_01_21719.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_1h_starv_B	Extraction			WT_1h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_1h_starv_rep2_1-A,7_01_21680	WT_1h_starv_rep2_1-A,7_01_21680.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_1h_starv_C	Extraction			WT_1h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_1h_starv_rep4_1-B,1_01_21690	WT_1h_starv_rep4_1-B,1_01_21690.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_2h_starv_A	Extraction			WT_2h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_2h_starv_rep2_1-B,4_01_21736	WT_2h_starv_rep2_1-B,4_01_21736.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_2h_starv_B	Extraction			WT_2h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_2h_starv_rep3_1-B,5_01_21687	WT_2h_starv_rep3_1-B,5_01_21687.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_2h_starv_C	Extraction			WT_2h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_2h_starv_rep4_1-B,6_01_21691	WT_2h_starv_rep4_1-B,6_01_21691.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_3h_starv_A	Extraction			WT_3h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_3h_starv_rep2_1-C,1_01_21678	WT_3h_starv_rep2_1-C,1_01_21678.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_3h_starv_B	Extraction			WT_3h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_3h_starv_rep3_1-C,2_01_21672	WT_3h_starv_rep3_1-C,2_01_21672.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_3h_starv_C	Extraction			WT_3h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_3h_starv_rep4_1-C,3_01_21700	WT_3h_starv_rep4_1-C,3_01_21700.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_4h_strav_A	Extraction			WT_4h_strav_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_4h_strav_rep2_1-C,6_01_21712	WT_4h_strav_rep2_1-C,6_01_21712.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_4h_strav_B	Extraction			WT_4h_strav_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_4h_strav_rep3_1-C,7_01_21696	WT_4h_strav_rep3_1-C,7_01_21696.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_4h_strav_C	Extraction			WT_4h_strav_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_4h_strav_rep4_1-C,8_01_21724	WT_4h_strav_rep4_1-C,8_01_21724.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_6h_starv_A	Extraction			WT_6h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_6h_starv_rep2_1-D,3_01_21689	WT_6h_starv_rep2_1-D,3_01_21689.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_6h_starv_B	Extraction			WT_6h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_6h_starv_rep3_1-D,4_01_21688	WT_6h_starv_rep3_1-D,4_01_21688.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_6h_starv_C	Extraction			WT_6h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_6h_starv_rep4_1-D,5_01_21744	WT_6h_starv_rep4_1-D,5_01_21744.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_16h_starv_A	Extraction			WT_16h_starv_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_16h_starv_rep2_1-D,8_01_21703	WT_16h_starv_rep2_1-D,8_01_21703.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_16h_starv_B	Extraction			WT_16h_starv_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_16h_starv_rep3_1-E,1_01_21702	WT_16h_starv_rep3_1-E,1_01_21702.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_16h_starv_C	Extraction			WT_16h_starv_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_16h_starv_rep4_1-E,2_01_21734	WT_16h_starv_rep4_1-E,2_01_21734.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_fed_A	Extraction			WT_fed_A	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_fed_rep1_1-A,1_01_21723	WT_fed_rep1_1-A,1_01_21723.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_fed_B	Extraction			WT_fed_B	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_fed_rep3_1-A,3_01_21746	WT_fed_rep3_1-A,3_01_21746.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
WT_fed_C	Extraction			WT_fed_C	Chromatography	Acquity uplc	MS	http://purl.obolibrary.org/obo/MS_1001761				Cortecs C18, 150 mm x 2.1 mm ID, 1.6 µm	reverse phase								Mass spectrometry	positive	50-2000	maXis	MS	http://purl.obolibrary.org/obo/MS_1001541	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	qToF			WT_fed_rep4_1-A,4_01_21748	WT_fed_rep4_1-A,4_01_21748.mzML	Data transformation			Metabolite identification		m_MTBLS1586_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
